cauhoi,cautraloi
Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh hàng năm?,Trung bình trường tuyển sinh 1000 học sinh.
Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Trường có bao nhiêu nhóm môn học lựa chọn,7 nhóm.
Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Nhóm 3 gồm những môn gì?,"Vật lí, Hóa học,Tin học, Công nghệ."
Nhóm 4 gồm những môn gì?,"Địa lí, GDKTPL, vật lí, tin học"
Nhóm 5 gồm những môn gì?,"Địa lí, GDKTPL, vật lí, công nghệ"
Nhóm 6 gồm những môn gì?,"Địa lí, GDKTPL, Công nghệ, tin học"
Nhóm 7 gồm những môn gì?,"Địa lí, GDKTPL, âm nhạc tin học"
Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Hiệu trưởng trường THPT Marie Curie là ai?,"Hiện nay, từ năm học 2025-2026, Hiệu trưởng là thầy Nguyễn Trần Khánh Bảo"
Trình bày quy định về giờ vào học buổi sáng và buổi chiều tại trường THPT Marie Curie.,"Buổi sáng: giờ đóng cổng 6g55, giờ vào lớp 7g10. Buổi chiều: giờ đóng cổng 12g40, giờ vào lớp 12g55."
Trường THPT Marie Curie có quy định như thế nào về cổng ra vào cho học sinh sử dụng các phương tiện khác nhau,HS đi xe gắn máy: cổng số 3; HS đi xe đạp và xe điện: cổng số 2; HS đi bộ: cổng số 5.
Học sinh xin nghỉ học tại trường THPT Marie Curie phải tuân thủ những yêu cầu gì?,"Phải xin phép qua ứng dụng ""VietSchool"" hoặc nộp đơn xin phép trực tiếp tại phòng giám thị."
Học sinh nghỉ học không phép sẽ bị xử lý như thế nào,Nếu nghỉ không phép từ 3 buổi trở lên trong 1 tuần hoặc 6 buổi/tháng thì xếp loại rèn luyện CHƯA ĐẠT.
Nêu quy định của trường về việc học sinh đi học trễ,Nếu đi học trễ lần thứ sáu hoặc đi trễ lần thứ 10 trong học kỳ thì xếp loại rèn luyện CHƯA ĐẠT.
Trường Marie Curie yêu cầu học sinh mặc đồng phục như thế nào khi đến trường?,"Nam: áo sơ mi trắng, quần xanh đậm, dây lưng đen, giày bata. Nữ: áo dài trắng, quần dài trắng, giày dép kín."
Những điểm nào về trang phục và đầu tóc mà học sinh không được vi phạm?,"Không nhuộm tóc, không mang khuyên mũi, miệng; nam không để tóc dài, nữ không uốn tóc hoặc nhuộm."
Việc mang giày dép của học sinh nữ có yêu cầu gì đặc biệt không?,"Giày dép phải có quai hậu, không cao quá 5cm, không mang dép crocs."
Học sinh sử dụng điện thoại trong lớp mà không được phép sẽ bị xử lý như thế nào,Nếu vi phạm lần thứ hai bị hạ rèn luyện xuống 1 bậc.
Trường có quy định gì về việc học sinh đi xe phân khối lớn,Không được đi xe >100cc nếu chưa có giấy phép lái xe; nếu vi phạm sẽ bị hạ rèn luyện 1 bậc.
Trường THPT Marie Curie có cấm học sinh mang những vật dụng nào không?,"Cấm mang vũ khí, vật nhọn, chất cháy nổ, v.v... vào trường."
"""Trường quy định như thế nào về việc học sinh chơi game, nghe nhạc trong lớp?""","Không được chơi game, nghe nhạc, sử dụng điện thoại khi chưa được giáo viên cho phép."
"""Việc học sinh sử dụng rượu bia, chất kích thích có bị cấm không?""",Bị nghiêm cấm tuyệt đối trong và xung quanh khuôn viên trường.
Học sinh có được phát tán tài liệu chính trị trái phép không?,"Không, nghiêm cấm mang tài liệu có nội dung phản động, chống phá Đảng, Nhà nước."
"""Khi đến lớp, học sinh cần chuẩn bị gì để đảm bảo yêu cầu học tập?""","Phải mang đủ sách vở, dụng cụ học tập, ghi chép đầy đủ, có bìa kiểm tra."
Trường xử lý như thế nào nếu học sinh chép bài bạn trong giờ kiểm tra?,"Học sinh bị điểm 0, không được sửa bài, và bị xếp loại CHƯA ĐẠT."
Nêu các yêu cầu về việc giữ gìn vệ sinh lớp học theo nội quy trường.,"Phải giữ lớp học sạch sẽ, không vứt rác, không viết bậy lên bàn ghế."
Học sinh làm hư tài sản trường sẽ phải chịu trách nhiệm gì,Phải bồi thường tài sản bị hư và có thể bị xử lý kỷ luật.
Việc sử dụng điện tại trường có những cấm đoán gì?,"Không được sử dụng để nấu ăn, sạc điện thoại hoặc sử dụng sai mục đích cá nhân."
Thế nào là hành vi bị cấm túc theo nội quy trường?,"Học sinh vi phạm 3 lần các lỗi như đi học trễ, không mặc đúng đồng phục, leo rào... sẽ bị cấm túc."
"""Khi bị cấm túc, học sinh sẽ bị ảnh hưởng ra sao đến việc học?""",Học sinh sẽ không được tham dự tiết học buổi học tiếp theo.
Học sinh có được tự ý rời khỏi lớp hoặc rời trường không?,"Không, phải có sự cho phép của giáo viên hoặc nhà trường."
Trường có cấm học sinh tụ tập đánh nhau hoặc gây rối không?,"Có, nếu vi phạm sẽ bị xử lý nghiêm và có thể chuyển hồ sơ lên công an."
"""Trường có quy định gì về việc học sinh ghi âm, ghi hình trong lớp học?""","Không được ghi âm, ghi hình nếu không có sự cho phép của giáo viên."
"""Trong các giờ kiểm tra tập trung, học sinh cần tuân thủ điều gì?""","Không được dùng điện thoại, không trao đổi, không chép bài bạn."
Học sinh phải chào hỏi thế nào theo quy định về tác phong?,"Phải chào giáo viên khi vào lớp, khi được gọi hoặc khi phát biểu."
Trang phục học thể dục có yêu cầu gì không,Phải mặc đồng phục thể dục đúng quy định do nhà trường cấp.
Nêu các hành vi học sinh không được thực hiện khi trong giờ học.,"Không được ăn uống, chơi game, nói chuyện riêng, dùng điện thoại."
Việc học sinh vi phạm nội quy sẽ bị xử lý như thế nào?,"Tùy mức độ, học sinh có thể bị cảnh cáo, hạ rèn luyện, cấm túc hoặc buộc thôi học."
Ai là người ký và đóng dấu phê duyệt nội quy này,Hiệu trưởng Trường THPT Marie Curie – Nguyễn Trần Khánh Bảo
Học phí của trường tầm bao nhiêu?,"Trường THPT Marie Curie (P Xuân Hòa, TP.HCM) hiện áp dụng mức học phí và các khoản thu như sau: Học phí chính khóa được miễn hoàn toàn theo quy định của thành phố và trung ương trong năm học 2025–2026, học phí kích cầu: 210.000 ₫/tháng, học phí tiếng anh tăng cường và MOS tùy theo đặc thù lớp học. Ngoài ra hs tham gia bán trú thì có đóng thêm khoản tiền này, theo quy định của trường. Có thể tạm tính học phí TB mỗi tháng của HS từ 1 triệu đến khoảng 2 triệu đồng mỗi tháng."
Nữ sinh mặc áo dài có được mặc quần đen hay không,Không
Nữ sinh có được mặc áo dài cách tân không?,"Không được, Nữ sinh mặc áo dài truyền thống."
Trường có bán trú hay không?,Trường có tổ chức bán trú bao gồm ăn trưa tại căntin (được đăng kí thực đơn vào cuối tuần) và nghỉ trưa cho học sinh (có GV quản lí).
Nữ sinh mặc áo dài mấy ngày trong tuần?,"Trong một tuần, nữ sinh mặc áo dài 2 ngày trong buổi chính khóa, gồm thứ 2 và thứ 5."
Điểm trúng tuyển trường năm học 2025-2026?,"Năm học 2025-2026, điểm trúng tuyển của trường như sau: NV1->19.5, NV2->19.75,  NV3-> 20"
Bước đầu tiên để nhập học vào lớp 10 tại THPT Marie Curie là gì,Phụ huynh học sinh phải xác nhận nhập học trực tuyến trên hệ thống Sở GD&ĐT từ 15g00 ngày 26/6 đến 16g00 ngày 1/7.
